Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.002825499,0.0006774381,251.91504,251.91504,29.296131,1.9347857,-1.3528472,-0.0041355034,0.00032642198,-0.0034509278,-0.004886321,-0.0042826785,0.0003158491,-0.0036365392,-0.0049694404,-1.3419656,0.30491692,-0.5263243,-2.5250535,-0.0016069445,0.0003835067,-0.0011268479,-0.0020933566,0.00075598,0.00012442017,0.0010029181,0.00051006064,0.26630116,12.18437,1.1833334,1.275,1.7,1000,26000,0,121.96404311899096,0,55.36353198066354,177.3275750996545,186.86336682923138,0
0.24425545,0.654909,6.974085,6.974085,112.43286,4.7127028,-6.683099,5.287739,4.533115,72.19884,1.9986404,7.1097565,3.196792,32.55434,3.0543873,-1.2170289,0.6313317,7.6884127,-4.770252,0.15750971,0.29635346,2.9007943,-0.92046094,-0.14821756,0.063469596,-0.096418135,-1.0015097,0.23187232,6.8245254,2.3166666,4.125,3.725,2000,36000,0,99.69573149550706,9.541205638088286,11.448156247846782,120.68509338144213,316.6390370801091,1
0.45871854,0.80952454,24.20457,24.20457,504.72418,16.118315,-21.80155,19.993977,39.561123,523.6088,3.8590834,20.564085,38.307938,590.2436,4.7718143,-0.5658303,1.4444969,7.635339,-5.6547647,0.31650278,0.6749939,2.9189398,-1.6619929,-0.24455811,0.20373614,-0.024975883,-1.5977435,0.9496295,10.87461,2.483333,7.125,6.5,3000,46000,0,139.15881253406405,18.629365731962025,22.46243380010128,180.25061206612736,497.69589628838,2
0.69760275,0.54044086,43.147713,43.147713,662.41504,64.66116,-26.292442,23.45868,58.151165,776.94934,5.1826878,27.189428,58.391987,920.59424,6.4870358,-0.48682025,1.4068191,7.37469,-7.005792,0.32829463,0.70520365,2.854752,-2.4955125,-0.27931744,0.2396204,-0.0029758252,-1.8946786,0.3355076,4.911191,2.7,5.95,6.825,4000,56000,0,137.17420985735953,19.43485545553267,23.441840368323028,180.05090568121523,677.3685275316238,3
0.18766391,0.2923897,35.541843,35.541843,434.25433,48.752686,-31.069519,26.2107,53.076477,560.709,6.0616994,28.890007,54.699856,611.079,6.429176,-0.14794625,1.6853808,8.684048,-7.0996785,0.3665437,0.85470176,3.491315,-2.5457458,-0.28188172,0.25054863,0.013771457,-2.0421765,0.42378896,4.5924163,1.4833333,4.975,6.225,5000,66000,0,139.07640627305955,19.05746623221785,21.813784741796553,179.94765724707395,856.2515486339107,4
0.52121407,0.092804834,52.39969,52.39969,1396.6448,130.53084,-70.035446,61.347534,94.48163,622.4348,7.0533915,65.193825,97.08199,588.90674,7.551191,0.5167201,1.9729131,8.821424,-6.725669,0.3584907,1.071709,3.372885,-2.5656009,-0.44669095,0.4023053,0.06493907,-2.2520814,0.531732,3.8818398,2.016667,5.8,6.275,6000,76000,0,134.19693145435303,17.992937833070755,22.44376207794994,174.63363136537373,1032.139544742182,5
0.61739653,0.020796057,66.98413,66.98413,4352.5044,187.38824,-109.37789,101.02489,145.77861,741.0153,4.575115,109.61378,153.13411,771.0717,5.6582313,0.81228745,2.1851892,11.947562,-6.9606323,0.3995834,1.1512991,4.2101493,-2.5466247,-0.5050677,0.44404453,0.18329352,-2.4607196,1.6491272,5.5638685,2.6333334,8.2,6.6,7000,86000,0,134.67424382083118,19.247429537586868,22.621177884750068,176.54285124316812,1208.0116812093183,6
0.23056813,0.14349446,101.48631,101.48631,4067.2627,696.7574,-95.8705,88.70047,149.40178,860.74347,4.3810806,101.695015,173.02092,962.775,4.6089478,1.0737523,2.326341,11.269889,-6.289589,0.53676146,1.1949037,4.028709,-3.4264178,-0.49436498,0.37165678,0.021436967,-2.6462317,0.12341221,0.37484965,4.516667,7.75,7.175,8000,96000,0,143.6468948237598,18.57679787091911,22.051200047135353,184.27489274181426,1392.0535878045484,7
0.8047948,0.019731123,112.96372,112.96372,8228.237,196.32564,-167.88504,157.32059,242.2343,1064.9512,0.3105507,171.64197,254.66965,1089.6747,3.134397,1.5833509,2.5916255,10.658249,-6.903295,0.45001268,1.3891822,3.5724828,-3.4793031,-0.5869635,0.5019106,0.031031668,-3.2358034,0.26296166,0.12621114,5.783334,5.675,8.425,9000,106000,0,134.28787835873663,18.343149047344923,21.39504565577954,174.0260730618611,1567.376073807478,8
0.203842,0.022109637,111.19656,111.19656,2909.2861,54.332787,-91.44073,83.09108,119.076996,928.80334,3.8307047,93.376015,129.42033,939.6345,2.7294116,1.0120178,2.2987955,7.515711,-8.319174,0.7088301,1.1255069,2.9753475,-2.7201223,-0.46222073,0.37372226,0.10558826,-2.9703107,2.0022764,10.086094,6.6166663,4.9,9.325,10000,116000,0,134.03710486833006,19.639505446888506,22.62043139245361,176.29704170767218,1742.0518027842045,9
