Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0057053366,0.0027005463,61.46277,61.46277,379.07773,28.806623,5.282671,-0.0011227867,7.206835e-05,-0.000871614,-0.0013088939,0.014140755,0.000115497525,0.014461335,0.01380644,5.180703,0.95886284,6.1562295,-0.49774456,0.004757218,0.0017638748,0.006815169,0.0025880416,-3.997311,0.005034698,-3.9917297,-4.0029044,0.16952774,0.45456466,-16.949186891889767,-35.17443328553848,-36.9565009311589,100,13000,0,103.11012348905206,0,150.06268943287432,253.17281292192638,369.99445659667253,0
0.17088374,0.35811365,5.4662943,5.4662943,54.739403,0.18640247,9.473295,-10.797729,0.43204504,-10.356699,-11.602993,-9.793264,0.24690412,-9.47155,-10.175456,-1.3185899,0.31513575,-0.5532832,-3.1928434,-0.16408761,0.03750691,-0.12382353,-0.2053554,-0.2091649,0.044347182,-0.14198875,-0.29238892,0.565585,0.9127782,-15.67582785442563,-30.791291140719977,-28.988106916748357,200,18000,0,93.71539546176791,116.82414140552282,59.50692638196051,270.04646324925125,637.537210514769,1
0.57118917,0.7207917,6.2298937,6.2298937,35.66856,5.897803,13.89772,-15.161593,0.79449475,-13.918598,-16.47417,-11.549195,1.1254523,-9.824684,-13.495579,-1.3105676,0.3781287,-0.283085,-2.9847898,-0.20668426,0.035755947,-0.1664373,-0.24459164,-0.14911863,0.020716256,-0.107541084,-0.18270683,0.33516198,1.0699842,-15.674000882491725,-29.780396532628806,-29.0716097031053,300,23000,0,90.2184289637953,114.32080191746354,60.75450185127556,265.2937327325344,905.3930043000728,2
0.3366661,0.8405987,3.2302027,3.2302027,19.365143,2.0703323,10.751079,-12.104048,4.763435,-6.931098,-24.31401,-9.409376,4.216501,-4.847289,-19.385809,-1.2467483,0.50532407,-0.038440347,-3.1115556,-0.2920611,0.077961475,-0.20953593,-0.3714329,-0.15238956,0.023389533,-0.121144295,-0.1797123,0.13843676,1.153013,-14.371088780646403,-29.322850622475425,-28.951440887091742,400,28000,0,101.70043660886586,116.88338434696198,60.71761140041053,279.30143235623837,1184.4236329086125,3
0.13837714,0.9004971,0.33245286,0.33245286,20.835217,0.64680094,16.368835,-17.162617,5.8384423,-7.122065,-30.882986,-15.814334,5.5654483,-6.0546117,-28.270317,-1.2732284,0.44507715,-0.29846787,-3.1949718,-0.22979164,0.110905424,-0.1156525,-0.3430487,-0.16233344,0.011292086,-0.1461153,-0.18484116,0.28366193,1.1296848,-14.089084644936142,-29.15135516493536,-28.87276052828751,500,33000,0,93.6429897416383,116.61284154094756,60.30669412203133,270.5625254046172,1454.500733571127,4
0.28505114,0.8876216,1.2679769,1.2679769,16.602444,3.8035629,15.467886,-17.049173,4.536012,-9.74877,-36.87316,-17.207712,3.919548,-10.277538,-33.97126,-1.2430006,0.46993133,-0.20358133,-3.557715,-0.26419312,0.10414842,-0.15772447,-0.37165743,-0.19457166,0.053941365,-0.11259842,-0.26132488,0.18108876,1.0502619,-14.849223485201595,-27.455606945436536,-28.94048735490494,600,38000,0,102.46174582093954,116.12715501897037,60.93639550358057,279.5252963434905,1734.203316533938,5
0.18140824,0.82721245,0.666484,0.666484,11.865165,3.2884305,25.133839,-26.343292,9.785664,-12.708145,-44.973625,-23.377644,9.646277,-9.347315,-41.145054,-1.2583252,0.5147132,-0.07744479,-3.583011,-0.24354461,0.18697067,-0.05199987,-0.43318433,-0.1265724,0.03439055,-0.07598972,-0.17269325,0.19651291,0.8538238,-14.143974497627653,-28.68061782691916,-29.524219716913052,700,43000,0,90.88667869009078,116.30532257258892,62.42099863290787,269.61299989558756,2003.7854444999248,6
0.1973261,0.6703736,1.6737502,1.6737502,12.072747,19.454212,34.325523,-36.552044,12.236971,-15.183787,-50.525497,-38.534157,13.549515,-14.7835655,-53.953194,-1.1788158,0.6251374,-0.13995206,-4.3453426,-0.3034169,0.22673938,-0.072090544,-0.5340097,-0.20436624,0.028082062,-0.16846466,-0.238451,0.104388736,1.1018169,-14.265236208809885,-29.28236668287954,-29.17555809212356,800,48000,0,93.03963649086654,116.27368955686688,61.92956273443997,271.2428887821734,2274.291848849505,7
0.10483632,0.8644419,0.30657,0.30657,16.802261,1.0567604,24.601496,-25.908545,9.293681,-13.870237,-58.23326,-24.498814,8.39491,-13.393761,-53.34887,-1.2221181,0.52739894,-0.19063652,-3.9382522,-0.2716712,0.17886727,-0.09072977,-0.45368522,-0.18675956,0.015024049,-0.15991783,-0.21273613,0.13198099,1.2438643,-15.111359165042808,-30.14953997395571,-29.36048210349228,900,53000,0,93.67332606762648,115.53771121613681,60.284052232280374,269.49508951604366,2545.5348670426756,8
0.13212761,0.97235125,0.29304373,0.29304373,23.10562,0.8076264,29.554522,-30.161694,12.593607,-14.433231,-62.790012,-29.480549,12.511562,-13.277598,-61.8145,-1.2783372,0.42547345,-0.36590087,-4.0321956,-0.22483018,0.08759687,-0.13547716,-0.31811833,-0.17486651,0.009964946,-0.15912056,-0.1901989,0.10789369,0.84016323,-14.381060431145022,-28.61810317452796,-29.023704536806424,1000,58000,0,94.65591859072447,117.28585154376924,59.89678852260113,271.83855865709484,2819.1848491784185,9
