Q Predictions Min,KL Loss,Policy mu Std,Z variance train,Sample Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of train steps total,Policy log std Max,Log Pis Max,Q Predictions Mean,Z mean eval,Total Train Time (s),AverageTrainReturn_all_train_tasks,Epoch Time (s),Policy log std Std,QF Loss,Z mean train,Epoch,(Previous) Eval Time (s),Z variance eval,Q Predictions Std,Policy log std Min,Log Pis Mean,V Predictions Min,V Predictions Mean,Policy mu Max,Log Pis Std,Q Predictions Max,Train Time (s),Policy Loss,AverageReturn_all_train_tasks,VF Loss,KL Divergence,V Predictions Max,Policy log std Mean,Number of env steps total,Log Pis Min,V Predictions Std,Policy mu Mean,Number of rollouts total
0.00816754,252.02084350585938,0.00116864,0.000675638,23.090373144002115,0.00116644,0.101524556596,1000,-3.28527e-05,-0.532123,0.00883052,0.617264,127.13741071200184,0.546644850009,122.58128252400206,0.00030166,21759.4,0.0035128,0,0,1.05451,0.000267904,-0.000732496,-1.34043,-0.00536991,-0.00502954,0.00375092,0.313088,0.0094523,99.49090937999995,-1.31719,0.546952057113,1.8463,252.02084350585938,-0.00457815,-0.000354278,26000,-3.32199,0.00011118,0.00251597,0
-415.539,131.2572479248047,0.678192,0.0263039,12.67563936400029,0.605887,0.566760920453,2000,-0.0774956,3.64547,-273.599,1.52258,245.64206215300214,0.422873424881,119.40747307600031,0.293645,554.185,0.789,1,4.558068551000133,4.2511,52.6131,-0.674768,1.46839,-400.74,-254.725,2.00815,1.37312,-23.9181,102.17376516099989,259.463,0.422541668125,34.7122,131.2572479248047,-3.38183,-0.373122,36000,-8.31807,50.4628,1.30628,0
-810.196,126.75637817382812,1.2428,0.049722,12.692806962000077,-1.72281,0.688024870354,3000,-0.177749,4.38235,-449.162,1.67511,367.20441554500235,0.217371153097,121.57050073600021,0.123769,1054.95,0.901863,2,3.655403933000116,4.1881,95.4756,-0.889843,1.36884,-784.417,-427.193,2.34092,1.45448,-171.088,105.22228984100002,431.678,0.521583792348,44.464,126.75637817382812,-152.126,-0.599921,46000,-7.27466,88.7408,0.71363,0
-930.495,148.8909454345703,1.27216,0.0536025,12.655816697000773,-2.28032,0.103410468132,4000,0.0134316,5.72015,-521.919,1.5132,487.4657403150029,0.0,120.35585334400093,0.175318,603.232,1.09174,3,3.647426641000038,2.88696,164.493,-1.08307,1.52594,-905.629,-494.395,2.45359,1.52587,-167.624,104.05261000600012,502.145,0.330678660154,82.2344,148.8909454345703,-166.746,-0.693015,56000,-8.03082,155.402,0.692074,0
-1019.22,161.44976806640625,1.17281,0.00362674,12.11812740500045,-2.65763,0.418827946294,5000,-0.163815,6.77834,-595.19,1.5108,607.739952492004,0.0,120.27911646300072,0.195405,832.008,0.341449,4,3.5530788330001997,2.72463,181.624,-1.35422,1.47973,-958.291,-577.257,2.56673,1.50995,-187.906,104.60791022500007,576.255,0.2959764121,15.4664,161.44976806640625,-182.049,-0.679152,66000,-6.29428,179.386,0.823781,0
-983.325,159.14881896972656,1.12651,0.00122725,12.105898969001828,-2.61914,0.502806600474,6000,-0.251395,6.28802,-606.831,1.33532,727.9463647190048,0.48576997478,120.20530163100148,0.221786,584.841,0.582503,5,3.5484441399999014,2.17235,196.306,-1.48611,1.69519,-948.65,-587.914,2.74652,1.68147,-193.86,104.55095852199975,584.436,0.0,30.0902,159.14881896972656,-189.051,-0.733891,76000,-7.97483,195.651,0.949009,0
-1073.35,151.15725708007812,0.999261,0.0289506,12.082395932998224,-2.81637,0.845755675017,7000,-0.265165,7.88144,-725.927,1.18674,848.1785711620034,0.50306042241,120.22961985699794,0.202538,819.795,0.885845,6,3.5496578349998344,2.02509,138.788,-1.77087,2.09485,-1005.97,-686.343,3.09472,1.63887,-206.55,104.59756608899988,702.979,0.98430455219,316.786,151.15725708007812,-209.113,-0.73626,86000,-7.35855,127.164,1.23851,0
-1097.92,183.60427856445312,1.23115,0.000238991,12.100853072998234,-2.78048,0.501168850076,8000,-0.200444,7.22321,-564.953,0.718127,968.393772085001,0.548976535581,120.21805256299831,0.272501,550.764,0.76369,7,3.5524956320000456,1.45286,202.982,-1.51681,1.48091,-1013.76,-552.072,2.66974,1.63658,-198.346,104.56470385800003,552.134,0.0,5.56056,183.60427856445312,-199.379,-0.839131,96000,-10.8674,201.972,0.545017,0
-1070.7,129.74960327148438,1.3007,0.0337657,12.082083802999932,-2.86613,0.4704547677,9000,-0.151004,7.44015,-694.742,0.635554,1087.8462601270014,0.505693032916,119.41343950499959,0.28254,1262.22,0.871254,8,3.5498331779999717,1.34891,116.075,-1.63095,1.90794,-1032.3,-682.78,2.77304,1.73234,-258.158,103.78152252399968,672.43,0.487226591486,121.057,129.74960327148438,-257.206,-0.750342,106000,-9.02229,109.037,0.758911,0
-1071.51,148.78941345214844,1.26527,0.0236518,12.355354111999532,-2.69027,0.5490460691,10000,0.0537658,6.89648,-657.551,0.88375,1207.3817508780014,0.503017652221,119.53403913099919,0.258686,1144.0,0.554556,9,3.589158564999707,1.70566,149.914,-1.67087,1.77553,-1024.94,-629.503,2.99409,1.68849,-153.903,103.58952645399995,638.963,0.501024393234,99.9475,148.78941345214844,-151.533,-0.758734,116000,-5.50854,140.289,0.764759,0
