VF Loss,V Predictions Min,Number of env steps total,Number of train steps total,QF Loss,Epoch Time (s),Log Pis Mean,Sample Time (s),Total Train Time (s),Policy Loss,Q Predictions Mean,AverageTrainReturn_all_train_tasks,V Predictions Std,Log Pis Min,Log Pis Max,Q Predictions Std,KL Divergence,V Predictions Max,Policy log std Std,Q Predictions Min,Z mean train,Policy mu Max,Policy log std Min,Epoch,Log Pis Std,V Predictions Mean,Z variance train,Policy mu Mean,Z mean eval,Q Predictions Max,(Previous) Eval Time (s),AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Min,Train Time (s),Z variance eval,Policy mu Std,Policy log std Max,Number of rollouts total,AverageReturn_all_test_tasks,KL Loss
1.83721,-0.00614808,26000,1000,21488.2,131.4328255450007,-1.33345,29.176873187000638,136.48708815200075,-1.31387,0.00302673,0.541466566029,9.48451e-05,-2.97773,-0.536718,0.000290437,252.04803466796875,-0.00524493,0.000202721,0.00205283,0.00257653,0.000928596,-0.000132578,0,0.309449,-0.00577366,0.000675187,-0.000651451,0.359332,0.00391856,0,0.54192318301,0.000102663,-0.00222127,102.25595235800006,0.482941,0.00148137,0.000498254,0,0.102174424358,252.04803466796875
40.5674,-407.254,36000,2000,555.15,119.4279468430002,1.48465,11.946680134000417,254.3515943570012,263.041,-276.936,0.388544095661,60.8939,-5.87308,3.49105,61.0338,142.71664428710938,-1.79218,0.254745,-425.056,0.818847,2.06264,-0.659917,1,1.347,-259.7,0.0213594,1.29976,1.08662,-13.4791,5.0563714079999045,0.332775145117,-0.394616,0.566614,102.42489530099988,2.85915,0.731496,-0.139334,0,0.819439554028,142.71664428710938
37.4674,-816.352,46000,3000,854.281,120.51665226399996,1.66625,11.934182632000102,374.84097189100044,416.203,-439.4,0.218832388548,95.4785,-7.62685,4.80136,97.2584,125.51737976074219,-129.224,0.205354,-792.423,0.72077,2.39609,-1.16234,2,1.42894,-420.753,0.0375815,0.804807,2.38982,-175.386,3.493078048000143,0.319828219697,-0.67878,-2.53875,105.08939158399971,4.91823,1.25408,-0.168744,0,0.426439964477,125.51737976074219
28.6027,-889.668,56000,4000,861.234,118.8498143780007,1.65595,11.91784607200043,493.76937975900114,493.407,-517.471,0.0,151.914,-7.45949,5.77157,162.726,149.62310791015625,-161.349,0.165719,-924.015,1.07853,2.60209,-1.14236,3,1.55909,-494.506,0.0465497,0.762159,1.30982,-122.596,3.4660230439999395,0.0,-0.604483,-2.28135,103.46594526200033,2.64291,1.32344,-0.154359,0,0.487749964742,149.62310791015625
24.6034,-924.174,66000,5000,422.983,120.11401732499962,1.66388,11.994137149999915,613.8779896950007,513.454,-538.767,0.0,165.042,-7.45741,4.42048,174.243,163.3692626953125,-202.075,0.229206,-963.829,0.477997,2.547,-1.58553,4,1.46961,-517.141,0.00285128,0.521832,1.48944,-191.933,3.5447284499996385,0.233857870965,-0.663252,-2.33228,104.57515172500007,2.43642,1.40643,-0.108898,0,0.23322415258,163.3692626953125
5.83556,-931.12,76000,6000,557.664,120.09250846400073,1.57994,12.000935173000471,733.9747127770008,565.843,-587.798,0.449519235488,177.235,-6.67873,7.33284,180.594,167.19732666015625,-213.01,0.218108,-984.221,0.551564,2.55969,-1.51906,5,1.68958,-565.38,0.00103281,0.732629,1.05156,-212.52,3.540522603000227,0.994533828094,-0.693941,-2.76896,104.55105068800003,1.59938,1.26551,-0.281992,0,0.144521612421,167.19732666015625
79.3702,-1011.27,86000,7000,733.865,120.12260385000127,1.65726,12.008466658000998,854.0964560460022,689.004,-709.829,0.423058325698,126.716,-8.62255,8.0131,135.116,144.23873901367188,-203.348,0.160071,-1085.61,0.739763,2.65368,-1.43031,6,1.58918,-680.735,0.0246598,1.02507,1.80661,-213.602,3.54586968600006,0.298274553244,-0.605892,-2.86947,104.56826750600021,2.33149,1.1298,-0.011272,0,0.412016007078,144.23873901367188
39.0963,-1003.31,96000,8000,504.869,120.22777074500027,1.4247,12.017019852999965,974.294228658003,562.213,-576.803,0.890423442717,214.15,-7.70668,7.16265,217.475,193.688232421875,-169.097,0.23213,-1058.78,0.997277,2.96406,-1.55058,7,1.64687,-556.798,0.00057374,0.87052,1.94616,-168.02,3.54617136700017,0.259244315025,-0.726379,-2.96171,104.66457952500014,2.22141,1.07867,-0.242051,0,0.512699648374,193.688232421875
19.8529,-1024.68,106000,9000,646.771,119.26364721300115,1.64112,11.999413018001178,1093.6887951020046,659.15,-677.008,1.84815766192,197.268,-7.86056,7.98149,199.84,174.8223114013672,-190.964,0.200906,-1078.1,1.01476,2.7912,-1.60832,8,1.83642,-655.892,0.0267058,0.886455,1.82847,-193.671,3.517135188999873,1.25456832046,-0.643883,-2.84786,103.7470990060001,2.82019,1.19908,-0.277461,0,0.401782328206,174.8223114013672
20.383,-1052.84,116000,10000,600.073,119.87813252799924,1.59145,12.479921822999131,1213.5686471700044,683.902,-700.72,2.64157712668,220.205,-7.39773,7.81225,221.65,174.23513793945312,-132.6,0.188017,-1128.72,1.41168,2.93662,-1.61135,9,1.75183,-687.047,0.0450396,0.959833,1.78259,-132.23,3.6482557250001264,0.540244223482,-0.642689,-2.92996,103.74995497999998,2.91023,1.11613,-0.120572,0,0.227281118056,174.23513793945312
