Log Pis Max,Number of rollouts total,V Predictions Max,V Predictions Mean,Q Predictions Min,Sample Time (s),Number of train steps total,VF Loss,Q Predictions Max,Policy log std Max,(Previous) Eval Time (s),AverageTrainReturn_all_train_tasks,Log Pis Mean,Q Predictions Std,Log Pis Min,Z mean eval,KL Divergence,Policy mu Min,Policy mu Max,Z variance eval,Epoch Time (s),Policy mu Mean,KL Loss,Number of env steps total,Policy mu Std,Epoch,Z mean train,QF Loss,AverageReturn_all_test_tasks,Policy log std Std,AverageReturn_all_train_tasks,Train Time (s),Policy log std Min,Q Predictions Mean,Total Train Time (s),V Predictions Min,Policy log std Mean,Policy Loss,V Predictions Std,Log Pis Std,Z variance train
-0.525989,0,-0.00334551,-0.00348307,0.00398957,19.820125206998455,1000,1.85023,0.00557283,0.00170155,0,0.546051761657,-1.33046,0.000265916,-3.66256,0.657201,251.99697875976562,-0.00268317,0.000501939,1.11673,120.00378920899857,-0.00110977,251.99697875976562,26000,0.0015213,0,0.00201891,21792.8,0.0817368459636,0.000299988,0.545819066033,100.18366400200011,0.000959402,0.00479027,123.50146815699918,-0.00359641,0.00134575,-1.32052,3.79852e-05,0.311823,0.000676044
3.47407,0,-12.7905,-269.183,-383.861,11.991528842999287,2000,14.7356,-30.0308,-0.123098,3.499607825000112,0.0824200661214,1.40433,50.4569,-6.98196,1.85018,131.56845092773438,0.647498,1.93969,6.79003,118.72533236899926,1.29005,131.56845092773438,36000,0.640365,1,0.768369,550.644,0.239290251639,0.271003,0.27725113066,103.23419570099986,-0.668935,-281.542,242.22736513899736,-369.455,-0.39469,267.694,48.7779,1.33749,0.0254884
5.69914,0,-219.728,-472.304,-757.503,12.010806101999151,3000,91.4485,-210.822,-0.150646,3.500282320000224,0.0,1.77099,95.3301,-7.77782,1.74244,122.97808837890625,-1.92844,2.29831,5.27565,118.65959422199921,0.787921,122.97808837890625,46000,1.27086,2,1.15794,1431.11,0.467145601104,0.111099,0.636103778127,103.14850579999984,-0.912997,-492.577,360.88052121999726,-724.942,-0.668683,479.583,86.6261,1.37936,0.0833115
6.33144,0,-354.61,-598.971,-1098.13,11.972904698000093,4000,58.075,-353.809,0.382089,3.4939969020001627,0.0,0.976247,116.02,-8.42514,2.23337,141.99655151367188,-2.86248,2.53843,5.89529,118.68568215100004,0.57319,141.99655151367188,56000,1.14937,3,1.45433,464.479,0.550271633314,0.157835,0.444821763016,103.21878055099978,-0.920295,-615.751,479.56636659699734,-1050.9,-0.624141,602.379,103.045,1.5903,0.086162
7.50766,0,-279.426,-713.654,-1260.53,11.975153205999504,5000,155.0,-283.257,0.19523,3.49443105499995,0.429629175805,1.07456,201.031,-5.69286,2.33387,194.94113159179688,-2.93913,2.6151,6.19799,119.09184795399915,0.359612,194.94113159179688,66000,1.26049,4,1.45338,623.08,1.07241130442,0.172152,0.965532352996,103.6222636929997,-1.13047,-734.905,598.6625038579969,-1170.63,-0.628739,725.203,196.973,1.68619,0.0757011
7.93515,0,-277.705,-717.296,-1271.74,11.964584266999282,6000,45.6527,-280.243,-0.0613218,3.49898419200008,0.202196739457,1.02595,187.34,-7.16138,2.22981,186.22152709960938,-3.26547,2.6494,5.94753,118.26287846099922,0.556524,186.22152709960938,76000,1.18125,5,0.28719,604.1,1.08161102138,0.175853,0.637706192149,102.79931000199986,-1.27512,-738.476,716.9189928629953,-1186.51,-0.616732,721.357,185.176,1.75766,0.0175378
7.29717,0,-267.347,-804.222,-1323.48,11.958048489999783,7000,27.6225,-269.519,-0.119444,3.4927489599999717,0.921093623313,1.92447,139.122,-8.70783,2.26311,214.1255645751953,-2.71832,2.93014,7.21574,118.35224447799965,1.02322,214.1255645751953,86000,1.18201,6,1.98901,633.903,1.34115948186,0.1093,1.75642181632,102.9014470279999,-1.4657,-829.517,835.2762825069949,-1221.72,-0.653897,806.857,134.386,1.64282,0.103922
7.66165,0,-232.608,-674.717,-1375.45,11.96565737300034,8000,117.814,-235.982,-0.0341009,3.498046293999778,1.3814455527,1.64118,230.112,-6.30119,1.93703,202.0874786376953,-2.89704,2.78782,6.57382,118.5441809150002,0.518356,202.0874786376953,96000,1.37203,7,0.107517,578.16,0.93758783627,0.200183,0.763057778316,103.08047724800008,-1.45566,-699.137,953.8232168509953,-1249.56,-0.685517,682.745,225.654,1.87526,0.0115623
8.47903,0,-215.297,-753.14,-1139.51,11.977997669999695,9000,60.6593,-211.793,-0.187184,3.501010879000205,0.991949171525,2.09349,145.117,-7.3346,1.72988,200.27960205078125,-2.88446,2.68902,5.83569,119.62822736499993,0.771675,200.27960205078125,106000,1.38892,8,1.96209,977.868,0.962206487011,0.173387,0.503325760925,104.14921881600003,-1.52377,-773.332,1073.5925065849951,-1047.11,-0.696163,746.609,131.577,2.1003,0.129922
7.54348,0,-199.694,-709.716,-1089.21,12.439452650999101,10000,172.954,-195.552,0.0557815,3.642318709999927,0.485819979653,2.12709,140.829,-7.9784,1.85456,171.54006958007812,-2.64084,2.77879,6.06714,121.14512127299895,0.973166,171.54006958007812,116000,1.30564,9,1.7222,1107.32,1.63076017665,0.151423,0.0,105.06334991199992,-1.46634,-722.597,1194.7099288029945,-1028.89,-0.681269,697.343,131.575,1.80366,0.11354
7.13862,0,-469.575,-707.847,-1171.48,12.469794627000283,11000,96.9729,-482.744,0.0182529,3.614828007000142,0.0,1.5975,90.7152,-7.48326,1.81873,176.01010131835938,-2.85582,2.5121,5.78642,121.15506709000056,0.623001,176.01010131835938,126000,1.32527,10,1.73077,540.413,0.806986317154,0.119814,0.546560510218,105.07044445600013,-1.00703,-727.839,1315.8661396969956,-1052.03,-0.63028,716.167,78.7167,1.85044,0.110999
6.89013,0,-191.933,-586.916,-951.669,12.464554641000632,12000,160.514,-186.359,-0.322157,3.6162236339996525,0.0,1.73278,203.129,-5.87799,1.73717,168.6985321044922,-2.30708,2.67104,5.36566,120.89251230400032,0.676796,168.6985321044922,136000,1.3174,11,0.0201736,594.214,1.2367026436,0.167444,0.161753972562,104.81173402900004,-1.33176,-592.468,1436.7552865689954,-931.82,-0.686134,574.795,201.954,2.01005,0.00633603
7.17603,0,-158.075,-627.706,-1153.87,12.460693491000256,13000,55.0868,-165.201,0.24494,3.6131267660002777,2.1153075557,1.67701,210.657,-6.38216,1.77441,188.26388549804688,-2.71043,2.66889,5.25566,121.28573433700058,0.446949,188.26388549804688,146000,1.41348,12,0.117749,613.76,1.50621950285,0.187178,2.27544581605,105.21191408000004,-1.34678,-651.891,1558.0037747599958,-1040.33,-0.678227,633.83,202.325,2.13658,0.000679512
6.03247,0,-410.737,-689.407,-1048.17,12.356653119999919,14000,96.5209,-427.855,0.266231,3.5761100949998763,1.74734710266,1.44027,88.3075,-7.12771,1.81181,163.15223693847656,-2.69879,2.5465,5.30877,120.15211633199988,0.646574,163.15223693847656,156000,1.26903,13,1.77612,769.791,0.985903160014,0.12753,1.52871131625,104.21935311700008,-1.02801,-712.716,1678.141678369996,-957.992,-0.611172,698.628,84.3885,1.88422,0.102744
7.97873,0,-152.818,-658.229,-1080.8,12.360464542000045,15000,202.697,-155.582,0.246282,3.5621630300001925,0.873400564898,1.71222,181.114,-6.05697,1.70711,180.51019287109375,-2.59323,2.70157,5.37904,120.01259581500017,0.691998,180.51019287109375,166000,1.3299,14,1.82497,1210.66,1.05596828617,0.150863,1.29145321219,104.08996824299993,-1.17004,-692.012,1798.1690080859962,-981.172,-0.656218,671.608,170.57,2.14335,0.104396
