Policy log std Mean,(Previous) Eval Time (s),Policy log std Max,Epoch,Q Predictions Max,Number of env steps total,Log Pis Max,Log Pis Min,QF Loss,Policy Loss,AverageTrainReturn_all_train_tasks,Policy mu Min,Train Time (s),VF Loss,Q Predictions Mean,V Predictions Mean,Policy log std Std,Log Pis Std,Z mean train,Policy log std Min,Total Train Time (s),AverageReturn_all_train_tasks,Log Pis Mean,Policy mu Std,V Predictions Std,KL Divergence,Policy mu Max,V Predictions Min,Z mean eval,KL Loss,Number of rollouts total,AverageReturn_all_test_tasks,Epoch Time (s),V Predictions Max,Q Predictions Std,Number of train steps total,Z variance train,Sample Time (s),Q Predictions Min,Policy mu Mean,Z variance eval
0.000864622,0,0.00211922,0,-0.00236847,26000,-0.52514,-2.73716,21319.5,-1.31482,0.439652897425,-0.000997106,103.44373410199978,1.83188,-0.00292998,-0.00150587,0.00113757,0.314903,0.00248942,-0.000407414,135.11122862599905,0.439879980326,-1.33351,0.000712759,4.7638e-05,252.0345916748047,0.000590168,-0.00173101,0.826148,252.0345916748047,0,0.167547629943,131.56113864699864,-0.00132225,0.00017749,1000,0.000675413,28.117404544998863,-0.00351014,-0.000189816,1.50276
-0.39576,3.552115056000275,-0.144037,1,-35.9095,36000,2.40946,-7.23493,613.656,259.295,0.132586412701,-0.0155852,103.42006703800007,20.1839,-273.426,-262.364,0.227584,1.2075,0.764571,-0.646892,254.15570167599935,0.234191130429,1.16902,1.00021,50.3201,128.85037231445312,2.05993,-404.252,1.94605,128.85037231445312,0,0.215337236775,119.04292922400055,-14.204,52.1885,2000,0.0271604,12.0707471300002,-431.429,0.984142,4.03405
-0.559379,3.553782840000167,-0.163999,2,-128.989,46000,3.51243,-7.77922,799.656,434.169,0.163699855643,-0.480628,103.337493258,19.0117,-446.871,-434.595,0.161419,1.46918,0.992173,-1.01376,373.1189867689991,0.48045870157,1.20418,1.0934,135.164,155.19204711914062,2.29948,-830.245,0.0949739,155.19204711914062,0,0.623253654697,118.9564474369995,-136.484,138.174,3000,0.0410717,12.065171338999335,-834.264,0.843118,0.267081
-0.545269,3.5608270889997584,0.0105913,3,-189.72,56000,5.26083,-6.48003,526.77,490.78,0.0,-2.48545,103.48585181099997,96.1513,-504.558,-482.328,0.14147,1.64508,1.07118,-0.778082,492.2124373999991,0.245673761648,1.03108,1.24016,134.848,149.4588623046875,2.49941,-792.078,1.18903,149.4588623046875,0,0.289174764928,119.0947608420006,-191.997,148.77,4000,0.0402683,12.048081942000863,-844.994,0.493995,2.3977
-0.625933,3.5597403609999674,-0.0208323,4,-191.106,66000,5.21589,-6.80999,683.024,629.376,0.0,-2.48378,103.62894570699973,59.0622,-647.42,-636.343,0.174118,1.65081,1.12461,-1.20453,611.4923917949977,0.0,1.18458,1.26623,170.951,161.68338012695312,2.76128,-968.172,0.985067,161.68338012695312,0,0.323162959231,119.27715350699918,-189.836,174.116,5000,0.0448879,12.088467438999487,-1012.98,0.487676,1.56688
-0.68251,3.5626890519997687,0.0312913,5,-190.869,76000,6.13052,-6.42243,1136.7,672.969,0.203959192834,-2.52463,103.15177574899963,12.7787,-690.525,-671.486,0.23336,1.65773,0.882092,-1.32876,730.3035303159972,0.0,1.10809,1.16398,164.955,155.99273681640625,2.81245,-1008.94,0.88049,155.99273681640625,0,0.262362542219,118.81027397199887,-181.007,166.936,6000,0.000717301,12.095809170999473,-1063.03,0.573314,1.25005
-0.683575,3.5638025799999014,-0.10998,6,-191.618,86000,6.22692,-6.42737,776.128,756.668,0.614142365574,-2.55558,103.1903070860003,391.704,-774.338,-738.05,0.230935,1.5485,0.896645,-1.5945,849.1359177819982,0.266541683773,1.57757,1.17215,142.665,154.5894317626953,2.76776,-1153.67,0.815708,154.5894317626953,0,0.364905470656,118.82903425900122,-185.827,151.868,7000,0.0248201,12.074924593001015,-1242.86,0.821394,1.22402
-0.702941,3.5674296110000796,0.16188,7,-179.392,96000,6.00911,-8.20228,932.238,659.641,0.593152380197,-2.49751,103.49982935100024,23.0499,-674.095,-656.862,0.212677,1.73494,0.541395,-1.36122,968.3059039689992,0.020038974721,1.11592,1.15225,168.37,154.73910522460938,2.90497,-1027.58,0.638642,154.73910522460938,0,0.0,119.1791941850006,-182.262,172.265,8000,0.00412319,12.111935223000273,-1088.82,0.605922,0.914599
-0.630591,3.558460744000058,0.0192165,8,-268.345,106000,5.64438,-8.58405,1085.73,652.927,0.0,-2.6626,104.31582104400013,66.5209,-670.824,-658.994,0.184485,1.70973,1.84401,-1.17978,1088.188307476999,0.0,1.31891,1.27159,165.397,157.13206481933594,2.67764,-1282.83,0.467445,157.13206481933594,0,0.0,119.93149701500033,-266.03,170.236,9000,0.0452031,12.057215227000142,-1324.07,0.576442,0.688644
-0.621781,3.5096303509999416,-0.25875,9,-198.792,116000,6.01973,-6.17716,759.2,672.557,0.80820545521,-2.5879,104.93387215100029,71.8537,-694.94,-680.462,0.212637,1.63164,0.489981,-1.40502,1208.7344055249991,0.40978432899,1.2363,1.14586,124.648,161.17623901367188,2.79784,-1024.67,0.943396,161.17623901367188,0,0.0,120.54145653599971,-199.978,132.208,10000,0.0134101,12.097954033999486,-1041.76,0.730022,1.01562
